WAHLBEZIRK,Insgesamt_Bevoelkerung_x,Unter10,a10bis19,a20bis29,a30bis39,a40bis49,a50bis59,a60bis69,a70bis79,a80undaelter,1_Person,2_Personen,3_Personen,4_Personen,5_Personen,6_Personen_und_mehr,Anzahl_Auslaender,Anzahl_FlaechejeBew,Gesamtalter,AnzahlWohnungen,HHGroesse,Miete,Anzahl_Eigentuemer,Leerstand,Anteil_Auslaender,FlaechejeBew,Durchschnittsalter,Mean_HHGroesse,Durchschnittsmiete_qm,Anteil_Eigentuemer,Leerstandsquote,gebiet-nr,Insgesamt,SPD,CDU,Grüne,FDP,AfD,Linke,Anteil_SPD,Anteil_CDU,Anteil_Grüne,Anteil_FDP,Anteil_AfD,Anteil_Linke
521,1184,112.0,188.0,95.0,134.0,177.0,225.0,110.0,80.0,51.0,141.0,132.0,71.0,88.0,19.0,12.0,144.6817,59966.83,47852.41,135.0,294.15,1228.6399999999999,60.4656,0.0,0.12219738175675676,50.64766047297297,40.415886824324325,2.178888888888889,9.101037037037036,0.44789333333333337,0.0,521,476,77,119,77,33,93,44,0.16176470588235295,0.25,0.16176470588235295,0.06932773109243698,0.1953781512605042,0.09243697478991597
522,1287,118.0,128.0,125.0,166.0,177.0,175.0,148.0,152.0,84.0,252.0,218.0,66.0,61.0,21.0,18.0,209.5009,71929.53,57516.25,298.0,606.76,2599.17,123.18610000000001,1.5,0.16278236208236208,55.8893006993007,44.69017094017094,2.0361073825503357,8.722046979865771,0.4133761744966443,0.0050335570469798654,522,475,90,102,83,17,74,54,0.18947368421052632,0.21473684210526317,0.17473684210526316,0.035789473684210524,0.15578947368421053,0.11368421052631579
530,1400,130.0,137.0,198.0,208.0,190.0,218.0,164.0,89.0,89.0,264.0,185.0,68.0,75.0,37.0,4.0,193.6591,71673.92,57529.03,317.0,678.04,2795.85,109.6301,5.6805,0.13832792857142856,51.195657142857144,41.09216428571428,2.1389274447949527,8.819716088328075,0.34583627760252367,0.017919558359621453,530,654,149,125,103,39,112,73,0.22782874617737003,0.191131498470948,0.15749235474006115,0.05963302752293578,0.1712538226299694,0.11162079510703364
540,1167,76.0,47.0,315.0,245.0,110.0,99.0,75.0,71.0,96.0,388.0,172.0,59.0,30.0,20.0,12.0,259.0035,55214.310000000005,47203.42,538.0,909.34,5403.76,72.64750000000001,15.3099,0.221939588688946,47.31303341902314,40.4485175664096,1.6902230483271377,10.044163568773234,0.13503252788104092,0.028457063197026025,540,367,63,45,98,13,33,87,0.17166212534059946,0.1226158038147139,0.2670299727520436,0.035422343324250684,0.08991825613079019,0.23705722070844687
550,1431,121.0,90.0,390.0,276.0,159.0,137.0,122.0,86.0,51.0,451.0,204.0,69.0,47.0,16.0,10.0,299.0078,68220.37,54135.95,658.0,1177.9,6715.1,84.0577,8.2401,0.20895024458420683,47.67321453529,37.83085255066387,1.7901215805471127,10.205319148936171,0.12774726443768997,0.012522948328267476,550,617,113,87,156,27,52,119,0.18314424635332252,0.14100486223662884,0.25283630470016205,0.04376012965964344,0.08427876823338736,0.19286871961102106
560,1827,124.0,116.0,476.0,333.0,211.0,228.0,154.0,112.0,76.0,622.0,278.0,86.0,54.0,21.0,20.0,408.0072,84653.49,71795.7,902.0,1575.81,8764.19,86.2603,17.2728,0.2233208538587849,46.33469622331692,39.29704433497537,1.7470177383592018,9.71639689578714,0.09563226164079823,0.019149445676274943,560,573,103,81,139,24,64,111,0.17975567190226877,0.14136125654450263,0.2425828970331588,0.041884816753926704,0.11169284467713787,0.193717277486911
570,1756,163.0,112.0,455.0,309.0,206.0,163.0,183.0,107.0,58.0,522.0,223.0,102.0,70.0,15.0,18.0,365.991,82556.45,66607.18000000001,800.0,1482.26,7783.24,108.78659999999999,35.698800000000006,0.20842312072892938,47.01392369020501,37.93119589977221,1.852825,9.729049999999999,0.13598325,0.04462350000000001,570,618,125,84,158,28,54,126,0.2022653721682848,0.13592233009708737,0.255663430420712,0.045307443365695796,0.08737864077669903,0.20388349514563106
580,1408,109.0,103.0,263.0,259.0,158.0,190.0,134.0,109.0,77.0,447.0,202.0,91.0,46.0,19.0,3.0,239.3516,71505.13,58941.69,676.0,1179.1,6340.45,92.3737,10.3751,0.16999403409090907,50.78489346590909,41.86199573863637,1.744230769230769,9.379363905325443,0.1366474852071006,0.015347781065088757,580,518,94,62,156,29,36,82,0.18146718146718147,0.11969111969111969,0.30115830115830117,0.055984555984555984,0.0694980694980695,0.1583011583011583
600,2254,132.0,253.0,742.0,235.0,178.0,254.0,202.0,174.0,122.0,381.0,442.0,155.0,102.0,43.0,9.0,407.7566,120782.29,87339.34,481.0,951.35,4912.24,120.73440000000001,22.3366,0.18090354924578528,53.58575421472937,38.74859804791482,1.9778586278586279,10.212557172557172,0.2510070686070686,0.046437837837837836,600,873,126,175,268,70,55,126,0.14432989690721648,0.2004581901489118,0.30698739977090495,0.08018327605956473,0.06300114547537228,0.14432989690721648
610,1867,152.0,171.0,197.0,232.0,247.0,275.0,216.0,169.0,157.0,366.0,269.0,94.0,100.0,39.0,9.0,121.1012,127888.05,83112.04,406.0,825.36,4107.63,165.6174,10.1578,0.06486405998928763,68.49922335297269,44.5163577932512,2.0329064039408866,10.117315270935961,0.40792463054187195,0.0250192118226601,610,801,146,235,207,67,43,68,0.1822721598002497,0.2933832709113608,0.25842696629213485,0.08364544319600499,0.05368289637952559,0.08489388264669163
620,1315,95.0,90.0,145.0,189.0,152.0,220.0,163.0,131.0,115.0,320.0,193.0,83.0,48.0,12.0,6.0,108.0071,74960.66,61859.96,335.0,605.49,3551.55,102.3034,6.0213,0.08213467680608365,57.00430418250951,47.041794676806084,1.8074328358208955,10.601641791044777,0.30538328358208955,0.017974029850746268,620,602,121,147,147,41,48,66,0.2009966777408638,0.2441860465116279,0.2441860465116279,0.0681063122923588,0.07973421926910298,0.10963455149501661
630,1509,133.0,151.0,208.0,194.0,186.0,255.0,174.0,125.0,89.0,364.0,233.0,92.0,64.0,12.0,6.0,143.9917,80096.16,64368.05,487.0,922.79,4723.3,152.6579,10.7507,0.0954219350563287,53.078966202783306,42.65609675281644,1.8948459958932238,9.698767967145791,0.3134659137577002,0.022075359342915813,630,588,90,112,204,23,30,95,0.15306122448979592,0.19047619047619047,0.3469387755102041,0.0391156462585034,0.05102040816326531,0.16156462585034015
640,1440,112.0,112.0,268.0,275.0,157.0,170.0,192.0,113.0,49.0,424.0,226.0,70.0,52.0,19.0,13.0,219.99949999999998,69633.31999999999,59511.880000000005,584.0,1055.86,5459.09,153.4686,16.537,0.15277743055555554,48.356472222222216,41.32769444444445,1.8079794520547943,9.347756849315068,0.262788698630137,0.028316780821917808,640,640,104,80,180,35,53,131,0.1625,0.125,0.28125,0.0546875,0.0828125,0.2046875
650,2606,511.0,273.0,539.0,538.0,327.0,187.0,143.0,60.0,32.0,466.0,191.0,160.0,139.0,70.0,39.0,1053.9989,103969.01,79009.43,959.0,2363.71,9624.14,21.4752,7.7236,0.4044508442056792,39.89601304681504,30.318277052954716,2.464765380604797,10.035599582898852,0.022393326381647552,0.008053806047966633,650,856,129,121,221,27,88,169,0.15070093457943926,0.1413551401869159,0.25817757009345793,0.03154205607476635,0.102803738317757,0.19742990654205608
660,1575,115.0,97.0,306.0,243.0,199.0,182.0,210.0,158.0,87.0,488.0,220.0,90.0,45.0,12.0,12.0,218.8169,76931.31,67868.38,611.0,1080.6399999999999,6015.74,112.0349,18.7605,0.13893136507936507,48.84527619047619,43.091034920634925,1.7686415711947625,9.845728314238952,0.18336317512274958,0.030704582651391164,660,608,100,77,150,28,56,139,0.16447368421052633,0.12664473684210525,0.24671052631578946,0.046052631578947366,0.09210526315789473,0.22861842105263158
680,1644,144.0,106.0,217.0,273.0,217.0,289.0,166.0,124.0,103.0,529.0,235.0,94.0,58.0,27.0,9.0,185.0094,91569.08,71345.74,648.0,1127.56,6690.36,166.1592,16.4721,0.11253613138686132,55.69895377128954,43.397652068126526,1.7400617283950617,10.324629629629628,0.2564185185185185,0.02541990740740741,680,697,117,121,210,33,50,121,0.1678622668579627,0.17360114777618366,0.3012912482065997,0.047345767575322814,0.07173601147776183,0.17360114777618366
690,1821,149.0,140.0,322.0,320.0,218.0,244.0,196.0,137.0,94.0,552.0,281.0,89.0,67.0,27.0,19.0,352.0238,89876.0,76100.7,810.0,1456.53,7757.68,115.1827,19.5967,0.1933134541460736,49.355299286106536,41.790609555189455,1.798185185185185,9.577382716049383,0.14220086419753086,0.024193456790123455,690,713,136,126,192,37,72,96,0.19074333800841514,0.1767180925666199,0.26928471248246844,0.051893408134642355,0.10098176718092566,0.13464235624123422
710,1727,116.0,92.0,377.0,333.0,182.0,218.0,167.0,136.0,116.0,617.0,243.0,101.0,56.0,21.0,12.0,369.0034,83649.14,71554.38,857.0,1470.37,8505.95,115.5968,16.5662,0.21366728430804863,48.43609727851766,41.43276201505501,1.715717619603267,9.925262543757293,0.13488541423570596,0.01933045507584597,710,579,94,84,113,23,74,128,0.16234887737478412,0.14507772020725387,0.19516407599309155,0.039723661485319514,0.12780656303972365,0.22107081174438686
720,2382,168.0,154.0,773.0,447.0,257.0,239.0,170.0,108.0,62.0,782.0,390.0,129.0,67.0,21.0,16.0,764.1877,104001.76,85813.2,1055.0,1810.65,10168.460000000001,144.0984,30.2042,0.32081767422334173,43.661528127623846,36.025692695214104,1.7162559241706161,9.638350710900475,0.13658616113744076,0.02862957345971564,720,625,100,74,124,26,88,136,0.16,0.1184,0.1984,0.0416,0.1408,0.2176
730,2301,196.0,153.0,601.0,418.0,259.0,254.0,169.0,157.0,77.0,736.0,310.0,136.0,80.0,30.0,12.0,489.992,101169.01,86753.24,1027.0,1825.04,10195.17,166.851,20.5044,0.21294741416775315,43.9674098218166,37.70240764884833,1.7770593962999026,9.92713729308666,0.16246445959104186,0.019965335929892893,730,690,116,86,173,29,66,148,0.1681159420289855,0.1246376811594203,0.25072463768115943,0.042028985507246375,0.09565217391304348,0.2144927536231884
750,1612,147.0,153.0,235.0,224.0,182.0,217.0,177.0,94.0,162.0,302.0,199.0,81.0,68.0,48.0,14.0,418.32480000000004,67541.45,68605.62,500.0,1023.5999999999999,4537.36,101.2114,8.8184,0.2595066997518611,41.89916253101737,42.559317617866,2.0471999999999997,9.07472,0.20242279999999999,0.0176368,750,452,93,74,73,13,73,71,0.20575221238938052,0.16371681415929204,0.16150442477876106,0.028761061946902654,0.16150442477876106,0.1570796460176991
760,1814,208.0,141.0,275.0,287.0,262.0,242.0,187.0,119.0,104.0,468.0,239.0,99.0,100.0,21.0,9.0,364.9835,84287.07,73954.35,765.0,1427.3600000000001,7014.6,85.1179,14.852599999999999,0.20120369349503858,46.46475744211687,40.76866041896362,1.8658300653594773,9.169411764705883,0.11126522875816994,0.01941516339869281,760,743,152,117,149,30,88,126,0.20457604306864063,0.15746971736204576,0.20053835800807537,0.040376850605652756,0.11843876177658143,0.1695827725437416
780,1930,164.0,173.0,418.0,320.0,255.0,231.0,189.0,130.0,77.0,516.0,240.0,100.0,92.0,32.0,31.0,457.2806,85116.31,75673.85,739.0,1442.89,7010.18,129.6477,18.8927,0.23693295336787565,44.101715025906735,39.20924870466322,1.9524898511502031,9.486035182679297,0.17543667117726655,0.025565223274695535,780,831,141,122,156,19,128,163,0.16967509025270758,0.14681107099879662,0.18772563176895307,0.02286401925391095,0.15403128760529483,0.19614921780986763
790,1897,126.0,133.0,285.0,346.0,221.0,290.0,201.0,161.0,108.0,602.0,282.0,83.0,59.0,18.0,13.0,425.6475,90968.09999999999,81407.04,719.0,1210.16,7715.7,169.0741,14.955200000000001,0.22437928307854507,47.953663679493935,42.91356879283078,1.683115438108484,10.73115438108484,0.23515173852573015,0.020800000000000003,790,643,115,122,171,27,69,86,0.17884914463452567,0.18973561430793157,0.26594090202177295,0.041990668740279936,0.10730948678071539,0.13374805598755832
800,2955,289.0,254.0,979.0,617.0,289.0,189.0,154.0,86.0,51.0,1227.0,324.0,141.0,108.0,40.0,7.0,1173.3953000000001,121190.03,95739.81,1527.0,2595.86,19549.329999999998,41.4239,176.6983,0.39708808798646367,41.011854483925546,32.39925888324873,1.6999738048461035,12.80244269810085,0.02712763588736084,0.11571597904387687,800,671,102,82,148,31,73,149,0.15201192250372578,0.12220566318926974,0.22056631892697467,0.046199701937406856,0.10879284649776454,0.22205663189269748
810,1959,98.0,153.0,742.0,345.0,177.0,182.0,106.0,62.0,38.0,898.0,265.0,83.0,53.0,7.0,9.0,693.1043999999999,82499.26,67066.7,890.0,1374.53,10563.699999999999,51.1473,17.1275,0.35380520673813165,42.11294538029607,34.23517100561511,1.5444157303370787,11.869325842696629,0.057468876404494385,0.01924438202247191,810,465,66,77,117,26,35,85,0.14193548387096774,0.16559139784946236,0.25161290322580643,0.05591397849462366,0.07526881720430108,0.1827956989247312
820,1449,124.0,120.0,149.0,205.0,161.0,239.0,200.0,122.0,114.0,259.0,250.0,85.0,79.0,15.0,6.0,136.5728,81210.28,66005.82,222.0,457.57,2068.0299999999997,96.6572,5.521199999999999,0.09425314009661835,56.045741890959285,45.552670807453424,2.0611261261261262,9.315450450450449,0.4353927927927928,0.024870270270270268,820,609,131,146,122,23,94,56,0.21510673234811165,0.23973727422003285,0.20032840722495895,0.03776683087027915,0.15435139573070608,0.09195402298850575
831,1120,109.0,106.0,156.0,140.0,128.0,174.0,145.0,88.0,58.0,186.0,154.0,69.0,59.0,23.0,6.0,136.5027,57308.86,46782.17,246.0,557.0,2191.58,107.9245,11.1641,0.12187741071428572,51.168625,41.76979464285714,2.2642276422764227,8.908861788617886,0.43871747967479674,0.04538252032520325,831,417,86,95,75,15,63,41,0.20623501199040767,0.2278177458033573,0.17985611510791366,0.03597122302158273,0.1510791366906475,0.09832134292565947
832,1254,141.0,243.0,121.0,112.0,210.0,263.0,142.0,38.0,20.0,68.0,110.0,84.0,89.0,32.0,23.0,168.9924,62043.61,46383.86,131.0,409.79999999999995,937.3100000000001,47.0507,0.0,0.13476267942583733,49.47656299840511,36.98872408293461,3.12824427480916,7.155038167938931,0.3591656488549618,0.0,832,497,80,97,67,22,88,84,0.16096579476861167,0.19517102615694165,0.13480885311871227,0.04426559356136821,0.17706237424547283,0.16901408450704225
840,1879,174.0,148.0,216.0,256.0,210.0,272.0,299.0,172.0,119.0,306.0,306.0,128.0,87.0,15.0,18.0,178.0067,98125.11,84341.09,350.0,739.8199999999999,3310.55,180.9959,2.5406,0.09473480574773815,52.22198509845663,44.88615753060138,2.1137714285714284,9.458714285714287,0.5171311428571429,0.007258857142857142,840,748,160,163,130,43,101,79,0.21390374331550802,0.2179144385026738,0.17379679144385027,0.05748663101604278,0.13502673796791445,0.10561497326203209
850,1541,107.0,111.0,164.0,183.0,163.0,249.0,237.0,172.0,132.0,414.0,232.0,103.0,56.0,13.0,3.0,224.6504,76702.25,73409.96,397.0,731.59,3840.5499999999997,157.6575,10.415600000000001,0.14578221933809213,49.77433484750162,47.6378715120052,1.8427959697732998,9.673929471032745,0.39712216624685137,0.026235768261964738,850,597,113,147,79,36,117,62,0.18927973199329984,0.24623115577889448,0.1323283082077052,0.06030150753768844,0.19597989949748743,0.10385259631490787
860,1381,124.0,114.0,213.0,159.0,172.0,235.0,158.0,107.0,94.0,211.0,196.0,77.0,51.0,18.0,15.0,196.094,73842.81,59815.23,235.0,503.47,2441.27,105.2967,6.2057,0.14199420709630703,53.4705358435916,43.31298334540188,2.1424255319148937,10.388382978723405,0.44807106382978723,0.026407234042553192,860,502,100,137,58,16,87,58,0.199203187250996,0.2729083665338645,0.11553784860557768,0.03187250996015936,0.17330677290836655,0.11553784860557768
870,1047,111.0,84.0,144.0,156.0,99.0,136.0,150.0,78.0,70.0,173.0,171.0,62.0,38.0,6.0,9.0,185.0124,58085.130000000005,44363.07,187.0,409.54,1651.3899999999999,96.1666,1.8231000000000002,0.17670716332378225,55.47767908309456,42.37160458452722,2.1900534759358288,8.830962566844919,0.5142598930481284,0.009749197860962568,870,384,68,76,45,22,77,48,0.17708333333333334,0.19791666666666666,0.1171875,0.057291666666666664,0.20052083333333334,0.125
880,2242,298.0,242.0,273.0,326.0,326.0,267.0,214.0,175.0,114.0,370.0,242.0,138.0,118.0,30.0,21.0,449.7757,119063.96,89476.16,501.0,1078.91,4239.87,155.0999,11.0384,0.20061360392506689,53.10613737734166,39.90908117752007,2.1535129740518966,8.462814371257485,0.30958063872255487,0.02203273453093812,880,741,167,158,80,34,140,76,0.2253711201079622,0.21322537112010798,0.10796221322537113,0.04588394062078273,0.18893387314439947,0.10256410256410256
890,1726,159.0,141.0,198.0,211.0,209.0,262.0,211.0,200.0,136.0,310.0,258.0,93.0,101.0,24.0,13.0,262.0065,100175.18,78411.78,432.0,856.58,3388.39,109.8096,14.3081,0.15179982618771728,58.03892236384704,45.42976825028968,1.9828240740740741,7.84349537037037,0.2541888888888889,0.03312060185185185,890,658,124,160,86,32,120,70,0.1884498480243161,0.24316109422492402,0.13069908814589665,0.0486322188449848,0.182370820668693,0.10638297872340426
900,1602,103.0,196.0,127.0,124.0,213.0,280.0,225.0,193.0,135.0,241.0,271.0,91.0,81.0,20.0,6.0,103.5455,107894.66,76182.19,254.0,513.75,2428.56,126.47030000000001,1.763,0.06463514357053683,67.34997503121099,47.55442571785269,2.0226377952755907,9.561259842519684,0.4979145669291339,0.006940944881889764,900,770,122,235,216,56,47,53,0.15844155844155844,0.3051948051948052,0.2805194805194805,0.07272727272727272,0.06103896103896104,0.06883116883116883
910,951,102.0,93.0,96.0,124.0,102.0,151.0,128.0,113.0,76.0,225.0,127.0,62.0,45.0,8.0,9.0,121.9881,50957.13,42268.02,282.0,529.94,2458.4100000000003,74.62819999999999,1.9885,0.12827350157728706,53.58268138801262,44.44586750788643,1.8792198581560287,8.71776595744681,0.26463900709219856,0.007051418439716312,910,414,72,100,63,14,54,71,0.17391304347826086,0.24154589371980675,0.15217391304347827,0.033816425120772944,0.13043478260869565,0.17149758454106281
920,1450,116.0,126.0,187.0,234.0,206.0,246.0,154.0,101.0,72.0,198.0,157.0,79.0,69.0,9.0,12.0,260.99629999999996,63338.48,61090.11,205.0,436.96000000000004,1826.79,88.81869999999999,10.4985,0.17999744827586203,43.681710344827586,42.13111034482759,2.1315121951219513,8.911170731707317,0.43326195121951216,0.05121219512195122,920,534,103,104,85,22,111,61,0.19288389513108614,0.1947565543071161,0.15917602996254682,0.04119850187265917,0.20786516853932585,0.11423220973782772
930,1336,167.0,151.0,116.0,174.0,157.0,185.0,150.0,115.0,122.0,266.0,159.0,79.0,70.0,27.0,20.0,194.0058,67975.38,57694.61,373.0,840.49,2958.59,93.6421,12.0883,0.14521392215568862,50.8797754491018,43.184588323353296,2.253324396782842,7.931876675603218,0.25105120643431633,0.0324083109919571,930,449,76,109,79,16,76,54,0.16926503340757237,0.24276169265033407,0.1759465478841871,0.035634743875278395,0.16926503340757237,0.12026726057906459
940,1247,115.0,121.0,154.0,177.0,162.0,218.0,132.0,93.0,95.0,297.0,180.0,68.0,64.0,6.0,15.0,197.0028,66693.33,54372.62,333.0,658.91,3084.89,130.155,17.0925,0.1579813953488372,53.483023255813954,43.60274258219727,1.9787087087087085,9.263933933933934,0.39085585585585586,0.05132882882882883,940,560,112,122,108,35,82,59,0.2,0.21785714285714286,0.19285714285714287,0.0625,0.14642857142857144,0.10535714285714286
950,1376,131.0,165.0,158.0,147.0,169.0,231.0,181.0,130.0,66.0,253.0,191.0,97.0,88.0,19.0,6.0,159.0044,74163.45,59374.15,263.0,515.7,2532.7799999999997,121.10390000000001,9.3455,0.11555552325581396,53.89785610465116,43.14981831395349,1.960836501901141,9.630342205323194,0.460471102661597,0.03553422053231939,950,585,106,130,144,24,61,61,0.1811965811965812,0.2222222222222222,0.24615384615384617,0.041025641025641026,0.10427350427350428,0.10427350427350428
960,2072,209.0,223.0,280.0,286.0,291.0,305.0,207.0,144.0,128.0,469.0,253.0,120.0,100.0,28.0,24.0,362.2922,109366.62000000001,85076.43,515.0,972.35,5816.66,168.44,3.9197,0.17485144787644788,52.78311776061776,41.06005308880309,1.8880582524271845,11.294485436893204,0.32706796116504855,0.007611067961165049,960,784,109,232,195,34,76,85,0.13903061224489796,0.29591836734693877,0.24872448979591838,0.04336734693877551,0.09693877551020408,0.10841836734693877
970,1141,63.0,86.0,107.0,121.0,114.0,187.0,175.0,148.0,91.0,237.0,190.0,61.0,39.0,6.0,15.0,69.0894,69736.79000000001,54886.71,237.0,447.42,2143.15,100.2745,7.447900000000001,0.06055162138475022,61.11900964066609,48.104040315512705,1.8878481012658228,9.04282700421941,0.42309915611814347,0.03142573839662448,970,540,96,124,142,32,75,41,0.17777777777777778,0.22962962962962963,0.26296296296296295,0.05925925925925926,0.1388888888888889,0.07592592592592592
980,1318,130.0,142.0,153.0,154.0,134.0,211.0,157.0,103.0,94.0,266.0,186.0,105.0,66.0,9.0,12.0,176.6542,74192.86,57047.99,276.0,549.22,2809.6600000000003,102.9697,8.956700000000001,0.1340320182094082,56.29200303490136,43.28375569044006,1.9899275362318842,10.179927536231885,0.3730786231884058,0.032451811594202906,980,502,82,86,144,28,53,70,0.16334661354581673,0.17131474103585656,0.2868525896414343,0.055776892430278883,0.10557768924302789,0.1394422310756972
990,1796,241.0,193.0,229.0,251.0,238.0,246.0,200.0,114.0,91.0,397.0,198.0,115.0,42.0,24.0,20.0,571.9848000000001,74131.62,71319.51999999999,689.0,1325.53,4696.58,52.0912,23.766,0.3184770601336303,41.275957683741645,39.710200445434296,1.9238461538461538,6.8165166908563135,0.07560406386066763,0.034493468795355586,990,418,77,64,43,20,101,64,0.18421052631578946,0.15311004784688995,0.10287081339712918,0.04784688995215311,0.24162679425837322,0.15311004784688995
1000,1377,102.0,137.0,161.0,159.0,146.0,223.0,162.0,175.0,123.0,365.0,228.0,49.0,73.0,14.0,9.0,253.9992,72121.56,64153.87,474.0,878.88,3753.51,109.4092,15.4027,0.18445838779956428,52.3758605664488,46.58959331880901,1.8541772151898734,7.91879746835443,0.2308210970464135,0.03249514767932489,1000,543,115,107,112,12,80,64,0.21178637200736647,0.19705340699815838,0.20626151012891344,0.022099447513812154,0.14732965009208104,0.11786372007366483
1010,1217,94.0,113.0,82.0,92.0,136.0,183.0,161.0,155.0,150.0,200.0,219.0,55.0,71.0,15.0,6.0,86.1435,80691.76,60700.75,181.0,378.34,1720.63,100.7036,3.274,0.0707834839769926,66.30382908792112,49.87736236647494,2.0902762430939226,9.506243093922652,0.5563734806629834,0.01808839779005525,1010,609,121,172,148,45,44,48,0.1986863711001642,0.2824302134646962,0.24302134646962234,0.07389162561576355,0.0722495894909688,0.07881773399014778
1020,1691,266.0,235.0,228.0,272.0,192.0,186.0,152.0,91.0,96.0,341.0,174.0,96.0,85.0,44.0,22.0,770.0133000000001,69333.99,61455.31,631.0,1444.01,4342.19,75.0232,22.499699999999997,0.45535972797161445,41.00176818450621,36.34258426966292,2.288446909667195,6.881442155309033,0.11889572107765452,0.03565721077654516,1020,402,68,59,36,6,127,50,0.1691542288557214,0.14676616915422885,0.08955223880597014,0.014925373134328358,0.31592039800995025,0.12437810945273632
1030,2071,284.0,337.0,248.0,249.0,256.0,237.0,238.0,130.0,103.0,308.0,231.0,132.0,96.0,65.0,30.0,756.9898,89944.85,77880.38,614.0,1512.61,4252.96,125.4576,23.1062,0.36551897633993236,43.43063737324964,37.60520521487204,2.4635342019543973,6.926644951140065,0.20432833876221498,0.03763224755700326,1030,492,76,66,39,12,171,75,0.15447154471544716,0.13414634146341464,0.07926829268292683,0.024390243902439025,0.3475609756097561,0.1524390243902439
1040,1457,143.0,184.0,109.0,158.0,187.0,250.0,173.0,103.0,106.0,240.0,189.0,86.0,84.0,27.0,3.0,141.881,100941.21,63269.01,240.0,514.36,2282.7,99.9898,1.4078,0.09737886067261496,69.28017158544955,43.42416609471517,2.1431666666666667,9.511249999999999,0.4166241666666667,0.005865833333333333,1040,595,62,171,128,80,73,48,0.10420168067226891,0.28739495798319326,0.21512605042016808,0.13445378151260504,0.1226890756302521,0.08067226890756303
1050,1249,113.0,141.0,91.0,118.0,159.0,195.0,172.0,125.0,134.0,187.0,147.0,81.0,55.0,25.0,0.0,137.507,68886.71,57929.24,217.0,450.13,1993.13,96.9564,4.2859,0.11009367493995197,55.15349079263411,46.380496397117696,2.074331797235023,9.184930875576038,0.4468036866359447,0.01975069124423963,1050,462,73,133,113,28,45,43,0.15800865800865802,0.2878787878787879,0.24458874458874458,0.06060606060606061,0.09740259740259741,0.09307359307359307
